Rank,Symbol,Tier,Category,FinalScore,Rating,TechnicalScore,CatalystScore,RelativeStrengthScore,Close,MA20,MA50,MA200,RelativeVolume,Return3M,SPYReturn3M,RelativeStrength3M,EarningsDate,DaysUntilEarnings,EarningsWithin14Days,Volume,AsOf,Status,CrossedMA50,CrossedMA200,Made52WeekHigh
77,SPIR,Tier 3: Space & Frontier Tech,Space & Frontier Tech,37.7,Pass,49.0,0.0,90.5,18.15,19.81,19.06,12.52,0.72,68.99,12.02,56.97,,,False,1123400.0,2026-06-17,OK,False,False,False
78,KO,User Added,Screenshot Import,37.3,Pass,72.7,0.0,41.2,79.93,80.43,78.88,73.65,1.02,5.21,12.02,-6.81,,,False,17051200.0,2026-06-17,OK,False,False,False
79,GSAT,Tier 3: Space & Frontier Tech,Adjacent,37.1,Pass,55.2,0.0,75.0,80.01,82.09,81.08,61.54,1.21,36.35,12.02,24.33,,,False,1718400.0,2026-06-17,OK,False,False,False
80,MDB,Tier 2: Growth Leaders,Software & AI,36.4,Pass,56.6,0.0,68.9,334.69,345.67,300.5,332.46,0.53,24.64,12.02,12.62,,,False,1503800.0,2026-06-17,OK,False,False,False
81,DUOL,Tier 2: Growth Leaders,Software & AI,36.4,Pass,57.3,0.0,67.6,123.39,114.48,108.18,172.95,0.98,23.33,12.02,11.3,,,False,1354300.0,2026-06-17,OK,False,False,False
82,CAVA,Tier 2: Growth Leaders,Consumer Growth,36.0,Pass,74.8,0.0,30.4,88.05,79.95,84.33,69.5,0.78,-0.99,12.02,-13.01,,,False,2652300.0,2026-06-17,OK,False,False,False
83,VRT,User Added,Screenshot Import,35.9,Pass,58.0,0.0,63.5,317.58,312.74,320.5,222.9,1.04,19.97,12.02,7.95,,,False,6158000.0,2026-06-17,OK,False,False,False
84,AVGO,Tier 1: Core Compounders,Semiconductors,35.5,Pass,54.7,0.0,68.2,392.9,414.06,410.46,359.39,1.18,24.36,12.02,12.34,,,False,39918800.0,2026-06-17,OK,False,False,False
85,LTBR,Tier 4: Small-Cap Speculative Growth,Energy & Materials,34.8,Pass,10.2,7.0,13.5,9.29,10.46,11.65,15.28,0.81,-15.39,12.02,-27.42,,,False,834900.0,2026-06-17,OK,False,False,False
86,SIDU,Tier 3: Space & Frontier Tech,Space & Frontier Tech,34.3,Pass,44.8,0.0,81.8,3.26,4.39,4.04,2.39,0.39,42.98,12.02,30.96,,,False,11327500.0,2026-06-17,OK,False,False,False
87,VSAT,Tier 3: Space & Frontier Tech,Space & Frontier Tech,34.3,Pass,49.5,0.0,72.3,64.55,71.84,67.15,45.99,0.76,32.85,12.02,20.82,,,False,2448600.0,2026-06-17,OK,False,False,False
88,WK,Tier 2: Growth Leaders,Cloud/Data,34.1,Pass,12.5,7.0,5.4,48.03,49.24,51.48,72.12,1.0,-22.13,12.02,-34.15,,,False,959100.0,2026-06-17,OK,False,False,False
89,LUNR,Tier 3: Space & Frontier Tech,Space & Frontier Tech,33.4,Pass,48.6,0.0,69.6,22.72,32.92,29.7,18.18,0.69,25.46,12.02,13.43,,,False,12128100.0,2026-06-17,OK,False,False,False
90,SERV,Tier 2: Growth Leaders,Robotics/Automation,32.1,Pass,8.8,7.0,2.7,6.69,8.09,8.67,10.7,0.7,-29.06,12.02,-41.08,,,False,4399600.0,2026-06-17,OK,False,False,False
91,IBIT,Tier 5: ETFs,ETFs,32.0,Pass,10.6,6.0,18.9,36.36,38.74,41.81,49.37,0.85,-9.69,12.02,-21.71,,,False,42360000.0,2026-06-17,OK,False,False,False
92,CFLT,Tier 2: Growth Leaders,Software & AI,32.0,Pass,0.0,8.0,0.0,,,,,,,,,,,False,,,No data,,,
93,GOOGL,Tier 1: Core Compounders,Technology,31.9,Pass,49.6,0.0,60.1,363.79,372.67,366.36,310.32,0.77,18.23,12.02,6.21,,,False,24496700.0,2026-06-17,OK,False,False,False
94,NNE,Tier 4: Small-Cap Speculative Growth,Energy & Materials,31.8,Pass,48.4,0.0,62.2,25.31,25.97,25.2,31.17,1.47,19.16,12.02,7.14,,,False,4731800.0,2026-06-17,OK,True,False,False
95,BKSY,Tier 3: Space & Frontier Tech,Space & Frontier Tech,31.8,Pass,51.0,0.0,56.8,29.52,39.59,38.04,25.9,0.88,16.31,12.02,4.29,,,False,2098800.0,2026-06-17,OK,False,False,False
96,QBTS,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,30.8,Pass,37.5,0.0,79.1,22.92,26.02,22.28,23.82,0.6,38.99,12.02,26.97,,,False,27498000.0,2026-06-17,OK,False,False,False
97,COIN,Tier 2: Growth Leaders,Fintech,30.7,Pass,11.9,6.0,9.5,164.92,171.34,185.44,238.82,0.95,-18.47,12.02,-30.5,,,False,8084600.0,2026-06-17,OK,False,False,False
98,NVDA,Tier 1: Core Compounders,Technology,30.0,Pass,49.2,0.0,51.4,204.65,212.43,208.74,189.7,0.74,13.44,12.02,1.42,,,False,127804800.0,2026-06-17,OK,False,False,False
99,CRSP,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,29.9,Pass,50.4,0.0,48.6,53.09,52.19,52.7,55.53,1.23,11.32,12.02,-0.7,,,False,2096800.0,2026-06-17,OK,True,False,False
100,PL,Tier 3: Space & Frontier Tech,Space & Frontier Tech,29.8,Pass,48.2,0.0,52.7,28.22,39.56,38.51,23.74,0.66,13.74,12.02,1.72,,,False,10694300.0,2026-06-17,OK,False,False,False
101,RGTI,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,28.3,Pass,35.0,0.0,71.6,20.25,22.76,19.68,23.72,0.4,29.2,12.02,17.17,,,False,25707800.0,2026-06-17,OK,False,False,False
102,AMZN,Tier 1: Core Compounders,Technology,27.5,Pass,43.3,0.0,50.7,237.5,254.31,256.64,232.71,1.06,13.17,12.02,1.14,,,False,44636700.0,2026-06-17,OK,False,False,False
103,RDDT,Tier 2: Growth Leaders,Consumer Growth,27.3,Pass,40.1,0.0,56.1,165.95,166.74,160.66,187.96,0.81,16.22,12.02,4.2,,,False,4373000.0,2026-06-17,OK,False,False,False
104,ROCK,Tier 2: Growth Leaders,Robotics/Automation,26.7,Pass,48.4,0.0,36.5,40.52,38.44,38.65,49.94,1.07,1.73,12.02,-10.29,,,False,394000.0,2026-06-17,OK,False,False,False
105,XLE,Tier 5: ETFs,ETFs,25.1,Pass,52.0,0.0,21.6,54.67,57.56,57.53,50.87,0.96,-6.44,12.02,-18.46,,,False,38542700.0,2026-06-17,OK,False,False,False
106,ESTC,Tier 2: Growth Leaders,Cloud/Data,23.7,Pass,39.1,0.0,40.5,58.56,60.34,53.3,68.37,0.73,5.02,12.02,-7.0,,,False,1794000.0,2026-06-17,OK,False,False,False
107,UPST,Tier 4: Small-Cap Speculative Growth,Other,22.5,Pass,26.7,0.0,59.1,30.46,31.1,30.82,40.37,1.33,17.92,12.02,5.9,,,False,6358300.0,2026-06-17,OK,False,False,False
108,ENVX,Tier 3: Space & Frontier Tech,Adjacent,22.3,Pass,16.6,0.0,78.4,6.69,7.24,6.78,7.81,0.53,38.22,12.02,26.2,,,False,3884700.0,2026-06-17,OK,False,False,False
109,COST,Tier 1: Core Compounders,Consumer,21.9,Pass,39.9,0.0,29.7,965.59,986.69,1002.66,957.88,0.79,-1.46,12.02,-13.49,,,False,1924900.0,2026-06-17,OK,False,False,False
